BH;BP;BD;Categorie;Naam;Materiaal;Dikte - mm;Rd m2k;MG CO2 - stuk;MG CO2 - m2;Prijs/norm;Enh;Omschrijving;Duurzaam;Toepassing;Opmerking
34;33,185;185;Gevelisolatie;Vlas - 60 mm;Gevelisolatie systeem;60;1,78;;0,72;€18;m2;Vlas - 60 mm;1;Voorzetwand;Let op niet in spouw maar voorzet
34;33,19;190;Gevelisolatie;Vlas - 70 mm;Gevelisolatie systeem;70;2,02;;0,84;€21;m2;Vlas - 70 mm;1;Voorzetwand;Let op niet in spouw maar voorzet
34;33,195;195;Gevelisolatie;EPS spouwparels - 50 mm;EPS isolatie parels/platen;50;1,47;;0,56;€10;m2;EPS spouwparels - 50 mm;0;Buitengevel;
34;33,2;200;Gevelisolatie;EPS spouwparels - 60 mm;EPS isolatie parels/platen;60;1,69;;0,68;€12;m2;EPS spouwparels - 60 mm;0;Buitengevel;
34;33,205;205;Gevelisolatie;EPS spouwparels - 70 mm;EPS isolatie parels/platen;70;1,92;;0,79;€14;m2;EPS spouwparels - 70 mm;0;Buitengevel;
34;33,21;210;Gevelisolatie;PUR schuim - 50 mm;PUR/PIR hardschuim isolatie;50;1,47;;3,25;€15;m2;Aminotherm - 50 mm;0;Buitengevel;
34;33,215;215;Gevelisolatie;PUR schuim - 60 mm;PUR/PIR hardschuim isolatie;60;1,69;;3,9;€17;m2;Aminotherm - 60 mm;0;Buitengevel;
34;33,22;220;Gevelisolatie;PUR schuim - 70 mm;PUR/PIR hardschuim isolatie;70;1,92;;4,55;€19;m2;Aminotherm - 70 mm;0;Buitengevel;
34;33,225;225;Hellend dakisolatie;Glaswol - 310 mm;Algemeen isolatiemateriaal;310;6,29;;9,3;€22;m2;Glaswol - 310 mm;0;Dakconstructie;
34;33,23;230;Hellend dakisolatie;Isovlas - 270 mm;Algemeen isolatiemateriaal;270;6,3;;2,97;€28;m2;Isovlas - 270 mm;1;Dakconstructie;
34;33,235;235;Hellend dakisolatie;Cellulose - 240 mm;Algemeen isolatiemateriaal;240;6,3;;4,08;€24;m2;Cellulose - 240 mm;1;Dakconstructie;
34;33,24;240;Hellend dakisolatie;Schapenwol - 240 mm;Algemeen isolatiemateriaal;240;6,3;;3,12;€30;m2;Schapenwol - 240 mm;1;Dakconstructie;
34;33,245;245;Hellend dakisolatie;EPS 50% gerecycled - 234 mm;EPS isolatie parels/platen;234;6,3;;5,15;€20;m2;EPS 50% gerecycled - 234 mm;1;Dakconstructie;
34;33,25;250;Hellend dakisolatie;EPS 50% gerecycled - 163 mm;EPS isolatie parels/platen;163;4,5;;3,59;€16;m2;EPS 50% gerecycled - 163 mm;1;Dakconstructie;
34;33,255;255;Hellend dakisolatie;EPS 50% gerecycled - 182 mm;EPS isolatie parels/platen;182;5;;4;€18;m2;EPS 50% gerecycled - 182 mm;1;Dakconstructie;
34;33,125;125;Deuren;Hout incl isolatie;Algemeen isolatiemateriaal;nvt;1;25,11;;€350;stuk;Hout incl isolatie;0;Woning algemeen;
34;33,13;130;Deuren;Hout;Algemeen isolatiemateriaal;nvt;nvt;22,11;;€280;stuk;Groen dak;0;Woning algemeen;
34;33,26;260;Kozijnen;Kunststof;Algemeen isolatiemateriaal;nvt;nvt;85;;€450;stuk;Kunststof;0;Woning algemeen;Let op is per m2 raam oppervlakte
34;33,265;265;Kozijnen;Aluminium VMRG keurmerk;Algemeen isolatiemateriaal;nvt;nvt;210;;€650;stuk;Aluminium VMRG keurmerk;0;Woning algemeen;Let op is per m2 raam oppervlakte
34;33,27;270;Kozijnen;Hout;Algemeen isolatiemateriaal;nvt;nvt;32;;€550;stuk;Hout;1;Woning algemeen;Let op is per m2 raam oppervlakte
34;33,275;275;Panelen;PUR/PIR platen - 50 mm;PUR/PIR hardschuim isolatie;50;2,3;12,5;;€35;stuk;PUR/PIR platen - 50 mm;0;Woning algemeen;
34;33,28;280;Panelen;PUR/PIR platen - 60 mm;PUR/PIR hardschuim isolatie;60;2,75;15;;€42;stuk;PUR/PIR platen - 60 mm;0;Woning algemeen;
34;33,285;285;Plat dakisolatie;EPS platen - 189 mm;EPS isolatie parels/platen;189;6,3;;5,67;€22;m2;EPS platen - 189 mm;0;Dakconstructie;
34;33,29;290;Plat dakisolatie;PUR/PIR platen - 120 mm;PUR/PIR hardschuim isolatie;120;6,46;;7,8;€28;m2;PUR/PIR platen - 120 mm;0;Dakconstructie;
34;33,295;295;Plat dakisolatie;PUR/PIR platen - 160 mm;PUR/PIR hardschuim isolatie;160;6,38;;10,4;€34;m2;PUR/PIR platen - 160 mm;0;Dakconstructie;
34;33,3;300;Plat dakisolatie;PUR/PIR platen - 180 mm;PUR/PIR hardschuim isolatie;180;6,33;;11,7;€38;m2;PUR/PIR platen - 180 mm;0;Dakconstructie;
34;33,305;305;Plat dakisolatie;Houtvezelplaat - 240 mm;Algemeen isolatiemateriaal;240;6,65;;6;€32;m2;Folie/thermokussen - 80 mm;1;Dakconstructie;
34;33,12;120;Dakafwerking;Groen dak;Algemeen isolatiemateriaal;nvt;nvt;;8,5;€45;m2;Groen dak;0;Dakconstructie;
34;33,315;315;Ventilatie;Balansventilatie ITHO HRU ECO 300;Algemeen isolatiemateriaal;nvt;nvt;337;;€1.200;stuk;Balansventilatie ITHO HRU ECO 300;0;Balansventilatie;
34;33,32;320;Ventilatie;Balansventilatie ITHO HRU ECO 400;Algemeen isolatiemateriaal;nvt;nvt;337;;€1.450;stuk;Balansventilatie ITHO HRU ECO 350;0;Balansventilatie;
34;33,325;325;Ventilatie;Balansventilatie ITHO HRU 400;Algemeen isolatiemateriaal;nvt;nvt;337;;€1.350;stuk;Balansventilatie ITHO HRU 400;0;Balansventilatie;
34;33,33;330;Ventilatie;Balansventilatie Zehnder ComfoAir Q350;Algemeen isolatiemateriaal;nvt;nvt;337;;€1.550;stuk;Balansventilatie Zehnder ComfoAir Q350;0;Balansventilatie;
34;33,335;335;Ventilatie;Balansventilatie Zehnder ComfoAir Q450;Algemeen isolatiemateriaal;nvt;nvt;337;;€1.750;stuk;Balansventilatie Zehnder ComfoAir Q450;0;Balansventilatie;
34;33,34;340;Ventilatie;Balansventilatie Zehnder ComfoAir E300;Algemeen isolatiemateriaal;nvt;nvt;337;;€1.400;stuk;Balansventilatie Zehnder ComfoAir E300;0;Balansventilatie;
34;33,345;345;Ventilatie;Balansventilatie Zehnder ComfoAir E350;Algemeen isolatiemateriaal;nvt;nvt;337;;€1.600;stuk;Balansventilatie Zehnder ComfoAir E350;0;Balansventilatie;
34;33,35;350;Ventilatie;Mechanische ventilatie Zehnder Comfofan Silent;Algemeen isolatiemateriaal;nvt;nvt;77,1;;€350;stuk;Mechanische ventilatie Zehnder Comfofan Silent;0;Mechanische ventilatie;
34;33,355;355;Ventilatie;Mechanische ventilatie Itho CVE-S ECO;Algemeen isolatiemateriaal;nvt;nvt;77,1;;€320;stuk;Mechanische ventilatie Itho CVE-S ECO;0;Mechanische ventilatie;
34;33,365;365;Verwarming - Warmtepomp;Hybride WP Nathan Paros 4 (R454B);Algemeen isolatiemateriaal;nvt;nvt;1763,9108;;€2.800;stuk;Hybride WP Nathan Paros 4 (R454B);0;Hybride warmtepomp;Koudemiddel 1x vervangen na 15 jaar
34;33,37;370;Verwarming - Warmtepomp;All-E WP Nathan Paros 4 (R454B);Algemeen isolatiemateriaal;nvt;nvt;1871,5008;;€3.200;stuk;All-E WP Nathan Paros 4 (R454B);0;All electric warmtepomp;
