BH;BP;BD;Categorie;Naam;Materiaal;Dikte - mm;Rd m2k;MG CO2 - stuk;MG CO2 - m2;Prijs/norm;Enh;Omschrijving ;Duurzaam;Toepassing;Opmerking
34;33,175;175;Gevelisolatie;Cellulose;Gevelisolatie systeem;70;1,85;nvt;nvt;50;m2;Cellulose - 60 mm;1;Voorzetwand;Let op niet in spouw maar voorzet
34;33,18;180;Gevelisolatie;Vlas;Gevelisolatie systeem;50;1,55;nvt;nvt;50;m2;Cellulose - 70 mm;1;Voorzetwand;Let op niet in spouw maar voorzet
34;33,185;185;Gevelisolatie;Vlas;Gevelisolatie systeem;60;1,78;nvt;nvt;50;m2;Vlas - 50 mm;1;Voorzetwand;Let op niet in spouw maar voorzet
34;33,19;190;Gevelisolatie;Vlas;Gevelisolatie systeem;70;2,02;nvt;nvt;50;m2;Vlas - 60 mm;1;Voorzetwand;Let op niet in spouw maar voorzet
34;33,195;195;Gevelisolatie;EPS spouwparels;EPS isolatie parels/platen;50;1,47;nvt;nvt;27;m2;Vlas - 70 mm;0;Buitengevel;
34;33,2;200;Gevelisolatie;EPS spouwparels;EPS isolatie parels/platen;60;1,69;nvt;nvt;27;m2;EPS spouwparels - 50 mm;0;Buitengevel;
34;33,205;205;Gevelisolatie;EPS spouwparels;EPS isolatie parels/platen;70;1,92;nvt;nvt;27;m2;EPS spouwparels - 60 mm;0;Buitengevel;
34;33,21;210;Gevelisolatie;PUR schuim;PUR/PIR hardschuim isolatie;50;1,47;nvt;nvt;50;m2;EPS spouwparels - 70 mm;0;Buitengevel;
34;33,215;215;Gevelisolatie;PUR schuim;PUR/PIR hardschuim isolatie;60;1,69;nvt;nvt;50;m2;Aminotherm - 50 mm;0;Buitengevel;
34;33,22;220;Gevelisolatie;PUR schuim;PUR/PIR hardschuim isolatie;70;1,92;nvt;nvt;50;m2;Aminotherm - 60 mm;0;Buitengevel;
34;33,225;225;Hellend dakisolatie;Glaswol;Algemeen isolatiemateriaal;310;6,29;nvt;nvt;50;m2;Aminotherm - 70 mm;0;Dakconstructie;
34;33,23;230;Hellend dakisolatie;Isovlas;Algemeen isolatiemateriaal;270;6,3;nvt;nvt;50;m2;Glaswol - 310 mm;1;Dakconstructie;
34;33,235;235;Hellend dakisolatie;Cellulose;Algemeen isolatiemateriaal;240;6,3;nvt;nvt;50;m2;Isovlas - 270 mm;1;Dakconstructie;
34;33,24;240;Hellend dakisolatie;Schapenwol;Algemeen isolatiemateriaal;240;6,3;nvt;nvt;50;m2;Cellulose - 240 mm;1;Dakconstructie;
